tipo;metrica_train;dataset;parametro;hora_inicio;hora_fim;hora_fim_p;TP;TN;FP;FN;normais;anomalas;metrica;valor
xgb;Recall;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 5};Thu, 12 Aug 2021 10:45:17;Thu, 12 Aug 2021 10:45:21;Thu, 12 Aug 2021 10:45:21;11621;1426;1553;208;11829;2979;ROC;0.7305501091119109
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;Acurácia;0.900796866558617
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;Precisão;0.9089043258604358
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;Recall;0.9733705300532589
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;F1;0.9400334734865493
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;MCC;0.6680980435910218
xgb;F1;Original;{'n_estimators': 45, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 2};Thu, 12 Aug 2021 10:45:22;Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:27;11514;1825;1154;315;11829;2979;ROC;0.7929961075912484
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;Acurácia;0.9035656401944895
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;Precisão;0.9132957164428197
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;Recall;0.9715106940569787
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;F1;0.9415041782729805
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;MCC;0.6790609920259902
xgb;MCC;Original;{'n_estimators': 99, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 1};Thu, 12 Aug 2021 10:45:27;Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:37;11492;1888;1091;337;11829;2979;ROC;0.8026402077199966
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;Acurácia;0.9009319286871961
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;Precisão;0.9126971483192607
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;Recall;0.9686364020627272
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;F1;0.939835131033917
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;MCC;0.6703767029892568
