tipo;nome;dataset;alg;par;hora_inicio;hora_fim;param;metrica;mean_train;std_train;mean_test;std_test;rank_test
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Recall;0.9995753364481793;0.00010537267440686001;0.9727131575954789;0.0025934140973768176;8
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};F1;0.9996521106413784;3.381513252150833e-05;0.9328958405486757;0.0006395720111278775;39
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};MCC;0.998253965986569;0.00016959532353092046;0.6156584921813026;0.006173120414743847;54
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};ROC;0.9992426892937303;0.00016863546440222123;0.7598639824051774;0.006906470128753887;93
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Acurácia;0.8162662807525326;0.001515672848715712;0.8072069464544139;0.0044165255132185294;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Precisão;0.9468505968504257;0.00040431042306481637;0.9397165915433874;0.0037003010170538492;19
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Recall;0.8164010157468352;0.00213737074419911;0.8113415247255503;0.007280593623073864;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};F1;0.8767985830230474;0.0011702964385878788;0.8707931376090828;0.0034912690533235985;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};MCC;0.5461034773409329;0.002106919120986699;0.5205339022412295;0.008643568769407783;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};ROC;0.8160627248326302;0.0008479202373104321;0.8009618083677404;0.005639951913764051;41
